"Researchers announce successful trial of new diabetes medication",REAL
"City council approves budget for public housing development",REAL
"Scientists develop AI model to predict earthquakes more accurately",REAL
"Government launches initiative to improve digital literacy",REAL
"Doctors report improvement in patient outcomes using new therapy",REAL
"University opens new research lab for renewable energy studies",REAL
"Public health study shows decline in smoking rates",REAL
"Tech company releases update to improve user data privacy",REAL
"Scientists confirm discovery of new exoplanet",REAL
"Local government expands free healthcare services",REAL
"Engineers develop low cost solar panels for rural homes",REAL
"Medical researchers identify early markers for Parkinson disease",REAL
"City introduces smart street lighting to save energy",REAL
"Environmental report shows reduction in river pollution",REAL
"Researchers publish findings on AI assisted drug discovery",REAL
"University partners with hospitals for medical research program",REAL
"Government announces tax relief for middle income families",REAL
"Scientists develop faster charging technology for batteries",REAL
"Local schools introduce nutrition focused meal programs",REAL
"Public transport authority adds electric trains to fleet",REAL
"Healthcare study links regular walking to lower heart disease risk",REAL
"Tech startup launches platform for remote education",REAL
"Researchers confirm benefits of early childhood education",REAL
"Government increases funding for scientific research",REAL
"Scientists develop biodegradable medical implants",REAL
"City reports decline in road accidents after safety reforms",REAL
"University launches online degree programs",REAL
"Medical association releases updated treatment protocols",REAL
"Researchers study effects of air quality on lung health",REAL
"Tech companies collaborate on open AI safety standards",REAL
"Scientists announce improved cancer screening method",REAL
"Local community opens free mental health counseling center",REAL
"Government supports startups through innovation grants",REAL
"Researchers discover new coral reef formations",REAL
"Healthcare system introduces telemedicine services nationwide",REAL
"Scientists study genetic factors in rare diseases",REAL
"City expands green rooftop initiative",REAL
"University researchers develop robotic surgery system",REAL
"Public health officials promote vaccination awareness",REAL
"Engineers create flood resistant urban infrastructure",REAL
"Scientists publish study on renewable hydrogen fuel",REAL
"Local authorities upgrade water treatment facilities",REAL
"Medical researchers develop pain free diagnostic test",REAL
"Tech firm launches affordable laptop for students",REAL
"Government announces national clean energy roadmap",REAL
"Researchers confirm effectiveness of new malaria vaccine",REAL
"City opens innovation hub for young entrepreneurs",REAL
"Scientists study relationship between diet and gut health",REAL
"Healthcare workers receive mental health support training",REAL
"University hosts seminar on ethical AI development",REAL
"Researchers develop AI system to predict crop yields",REAL
"Local government introduces digital identity services",REAL
"Scientists confirm new findings on climate resilience",REAL
"Public library launches free online learning portal",REAL
"Medical study shows benefits of preventive screenings",REAL
"Tech company invests in carbon neutral data centers",REAL
"Researchers study impact of noise pollution on health",REAL
"Government launches national disaster preparedness program",REAL
"Scientists create sustainable building materials",REAL
"City promotes car free zones to reduce emissions",REAL
"University researchers publish neuroscience breakthrough",REAL
"Healthcare policy expands coverage for rural areas",REAL
"Tech firms release tools for secure online communication",REAL
"Scientists discover new protein linked to immunity",REAL
"Local NGO launches food security initiative",REAL
"Government announces support for renewable startups",REAL
"Researchers analyze long term effects of screen time",REAL
"Medical professionals recommend updated exercise guidelines",REAL
"City introduces AI powered traffic monitoring",REAL
"University develops virtual labs for science education",REAL
"Scientists confirm benefits of forest conservation",REAL
"Healthcare system improves emergency response times",REAL
"Tech startup launches AI based tutoring platform",REAL
"Researchers publish study on mental health trends",REAL
"Government invests in smart city infrastructure",REAL
"Scientists develop water saving agricultural techniques",REAL
"Local authorities expand public wifi access",REAL
"Medical researchers discover new antiviral compound",REAL
"University hosts workshop on data science careers",REAL
"Tech company improves accessibility features for users",REAL
"Researchers study effects of climate change on crops",REAL
"Public health campaign promotes healthy sleep habits",REAL
"Scientists announce discovery of new renewable resource",REAL

"Scientists confirm humans can breathe underwater without equipment",FAKE
"Government admits clouds are controlled by secret machines",FAKE
"Doctors say eating paper boosts brain power",FAKE
"Alien embassy officially opens in capital city",FAKE
"New research claims humans can teleport using mirrors",FAKE
"Scientists prove shadows are alive and watching us",FAKE
"Time traveler arrested for altering historical events",FAKE
"Government replaces currency with digital thoughts",FAKE
"Study claims sleeping upside down increases intelligence",FAKE
"New device allows pets to speak human language",FAKE
"Scientists announce sun is artificial power plant",FAKE
"Doctors recommend ice cream diet for weight loss",FAKE
"Secret tunnel connects all world capitals underground",FAKE
"Government confirms existence of invisible cities",FAKE
"Researchers say humans can survive without organs",FAKE
"New app turns dreams into downloadable videos",FAKE
"Scientists discover humans can glow in the dark",FAKE
"Time loop traps small town for twenty years",FAKE
"Study claims money responds to positive affirmations",FAKE
"Government hiding evidence of flying elephants",FAKE
"New pill allows people to stop aging instantly",FAKE
"Scientists say rain is artificially programmed",FAKE
"Doctors confirm laughing nonstop cures all illness",FAKE
"Alien zoo discovered beneath major airport",FAKE
"Research proves humans only use one percent of body",FAKE
"New glasses allow people to see future events",FAKE
"Scientists announce discovery of reverse gravity zones",FAKE
"Government secretly testing mind swapping technology",FAKE
"Study claims eating metal strengthens bones",FAKE
"New machine converts thoughts into gold",FAKE
"Scientists confirm plants are spying on humans",FAKE
"Time machine accidentally sends city into past",FAKE
"Doctors recommend zero sleep for peak performance",FAKE
"Alien signal decoded reveals shopping advertisements",FAKE
"Government admits reality resets every ten years",FAKE
"Scientists discover humans can survive in vacuum",FAKE
"New vaccine grants instant genius level intelligence",FAKE
"Study claims blinking controls weather patterns",FAKE
"Portal opens allowing travel between dimensions",FAKE
"Scientists say emotions can power electronic devices",FAKE
"Government hiding underground civilization of giants",FAKE
"Doctors recommend eating sand for digestion",FAKE
"New research claims mirrors steal human memories",FAKE
"Scientists announce moon controls human thoughts",FAKE
"Time travelers disrupt stock market secretly",FAKE
"Study proves humans can live entirely on sound",FAKE
"Alien language taught in public schools next year",FAKE
"Scientists say shadows cause aging",FAKE
"Government confirms existence of time police",FAKE
